company_names,about,jobs,location,salaries,reviews,interviews,ratings
Cars24,Internet,72,Gurugram,15.5k,4.5k,407,3.5
Mahindra Logistics,Logistics,55,Mumbai,12.9k,4.5k,252,3.7
Havells,Electrical Equipment,25,Noida,14.8k,4.5k,293,3.9
L&T Finance,NBFC,--,Mumbai,11.7k,4.5k,218,3.9
Dell,Consumer Electronics & Appliances,35,Bengaluru,28.9k,4.5k,425,3.8
R1 RCM,BPO,260,New Delhi,21.9k,4.5k,358,3.8
Intas Pharmaceuticals,Pharma,48,Ahmedabad,17.2k,4.5k,262,4.1
OPPO,Consumer Electronics & Appliances,3,Greater Noida,11.8k,4.5k,251,3.9
Tata AIA Life Insurance,Insurance,688,Mumbai,14.6k,4.4k,255,3.9
Hetero,Pharma,54,Hyderabad,15.3k,4.4k,321,3.9
Hyundai Motor India Limited,Automobile,--,Chennai,14.1k,4.4k,326,4.1
Deutsche Bank,Banking,617,Pune,36.7k,4.4k,426,3.8
Motilal Oswal Financial Services,Financial Services,52,Mumbai,13k,4.4k,548,3.7
Berger Paints,Chemicals,107,Kolkata,10.6k,4.4k,434,3.7
TeamLease Services,Recruitment,2,Bengaluru,16.3k,4.3k,251,3.9
Lenskart,Internet,195,New Delhi,13.3k,4.3k,452,3.3
VE Commercial Vehicles,Automobile,3,Indore,14.2k,4.3k,288,3.9
Thermax Limited,Industrial Machinery,74,Pune,13.2k,4.2k,343,4.2
Bajaj Auto,Automobile,--,Pune,14.5k,4.2k,325,3.8
Macleods Pharmaceuticals,Pharma,8,Mumbai,15.7k,4.2k,270,3.7
Jubilant Foods Works,Hospitality,262,New Delhi,9.3k,4.2k,253,3.7
Aakash Educational Services,Education & Training,84,New Delhi,13.8k,4.1k,373,3.2
Kogta Financial India Limited,NBFC,136,Jaipur,1.9k,4.1k,248,4.7
LG Electronics,Consumer Electronics & Appliances,--,Pune,11.1k,4.1k,261,3.9
Hindalco Industries,Metals & Mining,8,Sambalpur,12.7k,4.1k,304,4.2
Jindal Steel Limited,Iron & Steel,41,Angul,15.7k,4.1k,419,3.9
Royal Enfield,Automobile,17,Chennai,14.9k,4.1k,203,4.2
State Street Corporation,Financial Services,7,Bengaluru,32.2k,4.1k,291,3.5
DCB Bank,Banking,24,Mumbai,9.5k,4k,230,3.8
Tata Communications,Telecom,281,Pune,23.5k,4k,302,3.9
HDFC Ergo General Insurance,Insurance,319,Mumbai,12.1k,4k,199,4.0
John Deere,Industrial Machinery,3,Pune,15.4k,4k,268,4.0
RBL Bank,Banking,31,Mumbai,18.4k,4k,241,3.5
Cummins,Industrial Machinery,92,Pune,15.6k,3.9k,289,4.3
Publicis Sapient,IT Services & Consulting,208,Bengaluru,31.2k,3.9k,696,3.3
Bank of America,Banking,--,Gurugram,28.7k,3.9k,294,4.1
Alembic Pharmaceuticals,Pharma,82,Vadodara,15.5k,3.9k,255,3.9
Pidilite Industries,Chemicals,13,Mumbai,11.6k,3.9k,257,4.2
Oyo Rooms,Internet,184,Gurugram,14.3k,3.9k,258,3.0
American Express,Financial Services,160,Gurugram,25.3k,3.8k,428,4.1
Subros,Auto Components,1,Noida,12.7k,3.8k,217,3.8
Aditya Birla Sun Life Insurance,Insurance,1,Mumbai,10.1k,3.8k,182,4.0
Grasim Industries,Building Material,6,Bharuch,12.7k,3.8k,279,4.0
Reliance Communications,Telecom,--,Mumbai,9.4k,3.8k,106,4.0
Carelon Global Solutions,IT Services & Consulting,53,Bengaluru,28.4k,4.1k,422,3.9
XpressBees,Logistics,13,Pune,8.1k,3.8k,443,4.2
Altruist Technologies,BPO,6,Bengaluru,8.3k,3.8k,720,4.4
Kyndryl,IT Services & Consulting,5,Bengaluru,26.6k,3.8k,228,4.0
ADP Private Limited,Software Product,68,Hyderabad,22.1k,3.8k,292,3.9
PNB MetLife,Insurance,15,New Delhi,8.2k,3.8k,193,3.3
Viatris,Pharma,11,Hyderabad,14.3k,3.8k,165,4.1
PVR INOX,Media & Entertainment,14,New Delhi,9.5k,3.8k,215,3.9
Aditya Birla Capital,NBFC,1,Mumbai,14.1k,3.8k,261,3.8
Escorts Kubota Limited,Automobile,3,Faridabad,13.4k,3.7k,298,4.1
Maersk,Logistics,43,Chennai,19.1k,3.7k,250,4.0
KPIT Technologies,Software Product,20,Pune,23.4k,3.7k,344,2.9
Cloudnine Hospital,Healthcare,15,Bengaluru,3k,3.7k,1.2k,4.4
Synechron,IT Services & Consulting,176,Pune,28.3k,3.7k,406,3.4
Birlasoft,IT Services & Consulting,528,Pune,29.9k,3.7k,315,3.5
JK Cement,Building Material,2,New Delhi,10.1k,3.7k,340,4.0
Glenmark Pharmaceuticals,Pharma,32,Mumbai,12.2k,3.7k,181,3.8
Dabur,FMCG,17,New Delhi,8.8k,3.7k,331,3.8
Sodexo,Facility Management Services,351,Mumbai,9.9k,3.7k,203,4.0
Kotak Mahindra Life Insurance Company,Insurance,173,Mumbai,12.5k,3.6k,261,3.5
Bharat Electronics,Electronics Manufacturing,2,Bengaluru,12.5k,3.6k,246,4.2
Godrej & Boyce Manufacturing,Consumer Electronics & Appliances,48,Mumbai,15.1k,3.6k,229,3.9
Cogent E Services,BPO,2,Noida,10.3k,3.6k,295,3.1
Samvardhana Motherson Group,Auto Components,20,Noida,12.1k,3.6k,259,3.7
Abbott,Pharma,207,Mumbai,11.8k,3.6k,183,4.1
Ipca Laboratories,Pharma,49,Mumbai,11.5k,3.6k,209,3.8
Aarti Industries,Agro Chemicals,40,Bharuch,14.4k,3.6k,332,4.1
PhonePe,FinTech,67,Bengaluru,13.3k,3.5k,419,4.0
Reliance Projects & Property Management Services,Other,--,Kolkata,7.3k,3.5k,212,4.0
Indian Oil Corporation,Oil & Gas,--,New Delhi,7.8k,3.5k,238,4.3
Reliance Digital,Retail,1,Mumbai,7.9k,3.5k,170,4.1
MRF Tyres,Auto Components,24,Chennai,12.7k,3.5k,376,3.6
Alkem Laboratories,Pharma,19,Mumbai,9.9k,3.5k,197,3.9
IGT Solutions,BPO,111,New Delhi,13.5k,3.5k,255,3.2
Johnson Controls,Industrial Automation,3,Pune,17.7k,3.5k,303,3.5
UNO Minda,Auto Components,12,Pune,11.4k,3.5k,259,3.9
"NTT DATA, Inc.",IT Services & Consulting,90,Bengaluru,21.2k,3.5k,153,3.9
Honda Motorcycle & Scooter,Automobile,1,Gurugram,11.1k,3.5k,203,4.1
