company_names,about,jobs,location,salaries,reviews,interviews,ratings
New Swan Enterprises,Industrial Machinery,5,Ludhiana,450,139,12,3.7
Nikhil Adhesives,Chemicals,--,Mumbai,443,139,8,3.9
Orion Security Solutions,Law Enforcement & Security,2,New Delhi,608,139,5,2.9
Shubham EPC,Engineering & Construction,1,Pune,316,139,13,4.0
LAKME ACADEMY,Beauty & Personal Care,--,New Delhi,653,139,19,3.2
Moris Media,Marketing & Advertising,138,Dubai,23,139,27,4.3
Cubic Transportation Systems,Software Product,88,Hyderabad,1.1k,139,12,3.1
Livesalesman,BPO,--,Noida,120,139,1,4.8
Technofab Engineering,Oil & Gas,--,Faridabad,444,139,2,4.1
Trell,Internet,--,Bengaluru,847,139,14,3.0
Gapbridge Software Services,IT Services & Consulting,--,Bengaluru,421,139,4,3.1
Birla Century,Fashion & Textile,--,Bharuch,610,139,7,4.1
Housr,Hospitality,2,Gurugram,350,139,10,4.4
Nucsoft,IT Services & Consulting,--,Mumbai,661,139,14,2.6
Christ University,Education & Training,--,Bengaluru,617,139,14,3.0
Q Connect Corp,BPO,--,Hyderabad,253,139,13,3.5
LAKME ACADEMY,Beauty & Personal Care,--,New Delhi,653,139,19,3.2
One Trust,Software Product,9,Bengaluru,977,139,18,3.0
Lokal App,Internet,20,Bengaluru,579,139,19,3.5
Aksh Optifibre,Telecom,--,New Delhi,520,139,6,3.9
Moris Media,Marketing & Advertising,138,Dubai,23,139,27,4.3
Orion Security Solutions,Law Enforcement & Security,2,New Delhi,608,139,5,2.9
Shubham EPC,Engineering & Construction,1,Pune,316,139,13,4.0
Aster Medcity,Healthcare,1.3k,Kochi,522,139,7,4.6
Cubic Transportation Systems,Software Product,88,Hyderabad,1.1k,139,12,3.1
Shri Ram Finance Corporation,Raipur +51 other locations,7,Raipur,455,148,17,3.0
A.t.e. Enterprises,Industrial Machinery,9,Ahmedabad,702,139,17,3.9
Xylem Learning,EdTech,31,Kozhikode,384,139,19,3.9
VLink,IT Services & Consulting,23,Gurugram,727,139,18,3.6
Techavera Solutions,Education & Training,--,Noida,103,138,2,4.2
Saudi Oger,Engineering & Construction,--,Riyadh,148,138,5,4.4
BASIX Academy for Building Lifelong Employability,Education & Training,2,New Delhi,221,138,8,3.9
Abu Dhabi Commercial Bank,Banking,--,Mumbai,629,138,6,3.5
SOGEFI,Auto Components,--,Pune,678,138,13,3.3
Csc Computer Education,Education & Training,--,Chennai,541,138,5,4.4
Locobuzz,Software Product,11,Mumbai,510,138,11,2.5
Lycatel BPO,BPO,2,Chennai,649,138,1,2.6
Maneesh Pharmaceuticals,Pharma,--,Mumbai,533,138,8,4.0
Ajeet Seeds,Agriculture,--,Chhatrapati Sambhajinagar,497,138,11,3.7
Vikram Sarabhai Space Centre,Defence & Aerospace,--,Thiruvananthapuram,398,138,3,4.4
Rural Electrification Corporation,Power,--,New Delhi,409,138,6,3.7
Alliance Group,Real Estate,6,Chennai,886,138,15,4.0
IFGL Refractories,Industrial Machinery,--,Rourkela,528,138,6,3.7
KLES Dr. Prabhakar Kore Hospital & M.R.C,Healthcare,14,Belagavi,371,138,1,3.7
Deutsche Telekom,Telecom,--,Pune,1.3k,138,22,3.3
Gits Food Products,FMCG,3,Pune,511,138,12,4.0
Tara Consultancy Services,Hyderabad +15 other locations,--,Hyderabad,399,138,24,2.8
Birla Precision Technologies,Industrial Machinery,21,Chhatrapati Sambhajinagar,710,138,5,3.5
M Tech Innovations,Electronics Manufacturing,12,Pune,612,138,11,3.3
India Retails & Hospitality,Retail,--,New Delhi,161,138,45,4.4
Brady Corporation,Printing & Publishing,--,Bengaluru,592,138,4,4.3
Shivalik Prints,Fashion & Textile,--,Faridabad,574,138,6,4.1
Printo Document Services,Retail,11,Bengaluru,622,138,12,3.6
Nichino,Hyderabad +37 other locations,4,Hyderabad,463,138,9,3.5
HealthAssure,Healthcare,2,Mumbai,613,138,7,3.3
Drums Food International,Food Processing,2,Mumbai,534,139,8,4.6
Airef Engineers,Engineering & Construction,2,Gurugram,474,138,8,3.9
Azuga Telematics,Software Product,1,Bengaluru,912,138,15,3.6
DigiLantern,IT Services & Consulting,25,Noida,284,138,8,3.5
DRN Infrastructure,Power,11,Hubballi,519,138,6,3.2
Sovereign Pharma,Pharma,--,Daman & Diu,631,138,5,3.9
Sunshine Hospitals,Healthcare,--,Hyderabad,655,138,4,4.1
Maiva Pharma,Hosur +3 other locations,--,Hosur,713,138,10,3.8
Banaras Hindu University,Education & Training,--,Varanasi,368,138,6,4.7
Hestabit Technologies,IT Services & Consulting,5,Noida,607,139,21,3.5
MariApps Marine Solutions,IT Services & Consulting,2,Kochi,1.2k,138,12,3.3
V2soft,IT Services & Consulting,12,Bengaluru,1.2k,138,12,3.4
iSource,Recruitment,2,Noida,580,138,13,2.9
Ceigall,Ludhiana +20 other locations,5,Ludhiana,644,150,8,3.3
Behr Hella Thermocontrol,Auto Components,15,Pune,776,138,8,4.0
Monotype,IT Services & Consulting,4,Noida,941,138,28,3.4
Pricol Engineering Industries,Auto Components,--,Coimbatore,782,138,16,3.8
Sitec Labs,Pharma,6,Mumbai,662,138,10,4.1
Shiksha.com,Internet,--,Noida,456,138,15,3.4
Freudenberg Gala Household Product,Consumer Electronics & Appliances,--,Mumbai,395,138,7,3.9
Seashell Logistics,Logistics,1,Navi Mumbai,528,138,8,3.7
Affiliated Computer Services,IT Services & Consulting,--,Bengaluru,407,138,1,3.6
Maintec Technologies,IT Services & Consulting,1,Bengaluru,858,138,10,3.8
HealthAsyst,IT Services & Consulting,13,Bengaluru,840,138,19,3.8
Sushima Pharmaceuticals,Pharma,7,Ghaziabad,194,138,11,3.7
The Hackett Group,Management Consulting,29,Hyderabad,988,138,11,3.2
EIH,Hospitality,43,New Delhi,622,138,4,3.7
Mahesh Edible Oil Industries,FMCG,4,Agra,522,138,14,3.6
Sterling Auxiliaries,Chemicals,--,Bharuch,779,138,9,3.1
Maple Digital Technology,Retail,9,Mumbai,412,138,5,3.2
Star Paper Mills,Pulp & Paper,1,Saharanpur,453,138,15,3.8
Actis Technologies,IT Services & Consulting,21,Mumbai,552,138,8,4.1
Interactive Brokers,Financial Services,34,Mumbai,927,138,23,3.3
Aarthi Scans and Labs,Healthcare,2,Chennai,576,138,17,3.4
Sagacious IP,Gurugram +5 other locations,--,Gurugram,581,138,25,3.4
THERMAL SYSTEMS,Industrial Machinery,4,Hyderabad,594,138,13,3.8
Panoli Intermediates India,Chemicals,--,Vadodara,620,138,9,4.0
HealthSpring,Fitness & Wellness,--,Mumbai,430,137,7,2.7
Glocal Healthcare Systems,Healthcare,--,Kolkata,398,137,5,3.3
Pyro Group,Telecom,21,Hyderabad,300,137,3,3.5
Valdel Engineers & Constructors,Oil & Gas,--,Bengaluru,643,137,9,2.8
Naaraayani Sons,Metals & Mining,--,Kolkata,417,137,10,3.0
SAVE Solutions,Financial Services,1,New Delhi,575,137,7,3.9
Cogneesol,BPO,9,Sahibzada Ajit Singh Nagar,729,137,20,3.3
REC Power Development and Consultancy,Gurugram +36 other locations,--,Gurugram,444,137,7,4.1
Decision Point,Analytics & KPO,--,Gurugram,707,137,15,3.4
Birla Fertility & IVF,Healthcare,--,New Delhi,338,137,10,3.9
KMC Constructions,Engineering & Construction,--,Hyderabad,504,137,5,4.3
Agastya International Foundation,Non-Profit,6,Bengaluru,309,137,2,3.5
Ultimate Flexipack,Petrochemicals,--,Haridwar,586,137,9,3.6
Panda Retail Company,Retail,--,Bhubaneswar,177,137,3,4.2
Ascend Telecom Infrastructure,Telecom,--,Bengaluru,391,137,4,4.2
Symbiosis International University,Education & Training,--,Pune,694,137,21,3.7
A. Menarini India,Pharma,--,Mumbai,331,137,2,3.5
DigitalTrack Solutions,IT Services & Consulting,--,Chennai,858,137,16,3.8
Harsha Engineers International,Ahmedabad +2 other locations,--,Ahmedabad,737,137,1,3.9
Perto,Electrical Equipment,6,Jaipur,620,137,15,3.6
Luker Electric Technologies,Financial Services,--,Coimbatore,568,137,10,3.8
Vibatel Solutions,BPO,--,Hyderabad,419,138,10,3.5
Serdia Pharmaceuticals,Pharma,--,Mumbai,384,137,6,3.7
Suwasthi,Beauty & Personal Care,1,Noida,279,137,7,2.4
Worldpay,FinTech,--,Indore,1.2k,137,8,4.1
GoBoult,Consumer Electronics & Appliances,16,Gurugram,437,138,24,3.8
"MAT Holdings, Inc",Sonipat +6 other locations,--,Sonipat,541,137,9,3.9
Viney Corporation,Auto Components,--,Gurugram,563,137,12,3.7
IRIS RegTech Solutions Limited,IT Services & Consulting,35,Mumbai,1.2k,137,15,3.5
Central Academy School,Education & Training,2,Jodhpur,403,137,6,3.6
Enrich Energy,Real Estate,4,Pune,603,137,8,4.1
HMT Machine Tools,Industrial Machinery,--,Hyderabad,581,138,4,4.1
Toshiba Johnson Elevators,Industrial Machinery,--,Mumbai,476,137,8,4.1
Quinte Financial Technologies,Chennai +2 other locations,--,Chennai,671,137,20,3.7
Genus Innovation,Power,3,Jaipur,603,137,6,3.6
7 Eleven,Retail,--,Bengaluru,1.1k,142,28,3.4
Merlin Group,Real Estate,11,Kolkata,580,137,8,3.8
APL Logistics,Logistics,7,Chennai,583,137,10,3.7
LC Infra Projects,Engineering & Construction,2,Ahmedabad,406,137,13,3.9
LRQA,Analytics & KPO,34,Mumbai,574,137,8,3.3
Chiripal Group,Fashion & Textile,--,Ahmedabad,545,137,2,4.0
Q Tech Microelectronics India,Greater Noida +5 other locations,7,Greater Noida,541,137,10,3.7
Herman Miller,Furniture & Furnishing,31,Bengaluru,830,137,16,4.3
NLMK India,Metals & Mining,--,Chhatrapati Sambhajinagar,625,138,21,3.5
Mankind Specialities,Pharma,--,Mumbai,451,137,11,3.8
Digi Clarity Global Solutions,Analytics & KPO,3,Chennai,320,137,8,4.1
TML Business Services,IT Services & Consulting,29,Pune,482,137,11,3.9
Vtc Tradewings,Logistics,3,Noida,356,137,7,4.0
TQ Cert Services,Hyderabad +36 other locations,2,Hyderabad,333,138,11,3.7
Tarasafe International Private Limited,Kolkata +2 other locations,2,Kolkata,202,137,7,4.6
Ntrust Infotech,IT Services & Consulting,--,Chennai,831,137,12,3.4
Oman Shapoorji Llc,Engineering & Construction,--,Muscat,395,137,9,3.5
Revature,IT Services & Consulting,10,Chennai,647,137,44,3.3
Shahnaz Husain Group Of Companies,Beauty & Personal Care,14,New Delhi,381,137,18,3.1
Enviro Infra Engineers,Waste Management,9,New Delhi,497,137,12,4.1
Preet Tractors,Automobile,--,Nabha,476,137,12,2.7
Prothious Engineering Services,Design,7,Chennai,373,137,3,2.9
Surya Hospital,Healthcare,31,Mumbai,607,137,9,3.7
MediaTek India Technology,Semiconductors,21,Noida,1.2k,137,31,3.8
Peoplelink Unified Communications,Consumer Electronics & Appliances,25,Hyderabad,735,137,14,3.7
Radixweb,IT Services & Consulting,2,Ahmedabad,845,137,16,3.5
Weir Minerals,Metals & Mining,19,Bengaluru,696,137,15,4.0
Royal HaskoningDHV,Engineering & Construction,14,Chennai,432,137,3,4.4
The Wadhwa Group,Real Estate,12,Mumbai,691,137,5,3.4
Counsel India,EdTech,9,Noida,285,137,15,3.7
ARDEE INDUSTRIES LIMITED,Metals & Mining,15,Naidupet,279,137,28,4.0
G Square Housing,Real Estate,19,Chennai,497,138,11,3.8
Altos Global Services,BPO,4,Noida,337,138,10,3.7
International Crops Research Institute for the Semi-arid Tropics,Analytics & KPO,7,Hyderabad,412,137,4,3.7
PhableCare,Internet,--,Bengaluru,823,136,9,2.6
Solitaire World,Real Estate,--,Pune,297,136,8,3.9
Freight Tiger,Logistics,--,Mumbai,500,136,14,3.6
Fabtech Technologies International,Engineering & Construction,13,Mumbai,617,136,10,3.5
XSEED Education,EdTech,--,Bengaluru,510,136,6,3.0
Fipola Retail,Food Processing,--,Chennai,306,136,2,3.7
SNS College of Technology,Education & Training,--,Coimbatore,85,136,35,4.7
Hitachi Automotive Systems,Auto Components,--,Chennai,676,136,4,4.2
Bansal Hospital,Healthcare,--,Bhopal,471,136,5,4.1
MeritTrac,EdTech,--,Bengaluru,529,136,1,3.7
42Gears Mobility Systems,Software Product,38,Bengaluru,727,136,16,3.9
AI Engineering Services,New Delhi +11 other locations,--,New Delhi,456,136,5,3.5
Norwegian Cruise Line,Travel & Tourism,--,Mumbai,185,136,8,4.2
Robt Stone (ME) LLC,Oil & Gas,--,Abu Dhabi,323,136,14,2.8
QUTONE CERAMIC,Building Material,--,Ahmedabad,399,136,14,3.7
Bhate & Raje Construction Co.,Engineering & Construction,7,Pune,428,136,5,4.1
Nifco India,Industrial Machinery,--,Gurugram,469,136,8,3.7
Ashida Electronics,Electronics Manufacturing,1,Mumbai,540,136,5,3.9
Daimler,Automobile,--,Chennai,877,136,23,4.0
Manpasand Beverages,Beverage,--,Vadodara,295,136,2,3.7
Facilities And Building Solutions,Engineering & Construction,1,Bengaluru,542,136,10,3.6
Lloyd Electric & Engineering,Industrial Machinery,--,New Delhi,464,136,1,3.6
Sungwoo Hitech,Auto Components,--,Chennai,659,136,1,4.0
Shankar Electricals,Electrical Equipment,--,Bengaluru,486,136,5,3.6
Country Holidays Travel India,Travel & Tourism,--,Noida,54,136,404,3.2
Winman Software,Software Product,--,Mangaluru,413,136,35,4.2
Colan Infotech,IT Services & Consulting,25,Chennai,1.3k,136,24,3.3
Bharuch Enviro Infrastructure,Real Estate,6,Ankleshwar,620,136,5,4.0
HM Constructions,Real Estate,24,Bengaluru,200,136,27,4.5
Cherise India,Beverage,3,Pune,300,136,2,3.8
Milacron,Ahmedabad +6 other locations,--,Ahmedabad,927,139,5,3.8
Deduce Technologies,Bengaluru +8 other locations,--,Bengaluru,986,136,11,3.2
Eptisa,Engineering & Construction,--,Kolkata,421,136,7,3.5
mPHATEK Systems,IT Services & Consulting,--,Pune,997,136,15,3.4
Apraava Energy,Power,--,Mumbai,514,136,8,4.4
Komatsu,Industrial Machinery,8,Chennai,707,136,7,3.6
Robt Stone (ME) LLC,Oil & Gas,--,Abu Dhabi,323,136,14,2.8
Bhate & Raje Construction Co.,Engineering & Construction,7,Pune,428,136,5,4.1
QUTONE CERAMIC,Building Material,--,Ahmedabad,399,136,14,3.7
Hitachi Automotive Systems,Auto Components,--,Chennai,676,136,4,4.2
Bansal Hospital,Healthcare,--,Bhopal,471,136,5,4.1
Ashida Electronics,Electronics Manufacturing,1,Mumbai,540,136,5,3.9
AI Engineering Services,New Delhi +11 other locations,--,New Delhi,456,136,5,3.5
Fabtech Technologies International,Engineering & Construction,13,Mumbai,617,136,10,3.5
42Gears Mobility Systems,Software Product,38,Bengaluru,727,136,16,3.9
Norwegian Cruise Line,Travel & Tourism,--,Mumbai,185,136,8,4.2
Eptisa,Engineering & Construction,--,Kolkata,421,136,7,3.5
Novopay Solutions,Software Product,--,Bengaluru,740,136,16,2.9
Shipsy,Software Product,2,Gurugram,669,136,20,4.2
HM Constructions,Real Estate,24,Bengaluru,200,136,27,4.5
Bharuch Enviro Infrastructure,Real Estate,6,Ankleshwar,620,136,5,4.0
Sungwoo Hitech,Auto Components,--,Chennai,659,136,1,4.0
Cherise India,Beverage,3,Pune,300,136,2,3.8
Deoleo,Food Processing,4,Mumbai,442,136,8,4.1
KWALITY DAIRY (INDIA),FMCG,--,New Delhi,324,135,1,3.9
DigiVersal Consultants,Internet,27,Noida,361,135,10,2.4
Digicommerce Solutions LLP,Internet,6,Noida,176,135,8,4.7
Forbes Facility Services,Facility Management Services,3,Mumbai,495,135,7,4.2
Frugal Testing,IT Services & Consulting,6,Hyderabad,146,135,20,4.6
Complere Infosystem,Software Product,--,Ambala,151,135,9,4.3
SkillCircle,EdTech,4,New Delhi,216,135,33,4.1
Sberbank Branch in India,Banking,22,Bengaluru,432,135,23,3.1
Detox Group,Chemicals,--,Ankleshwar,569,135,12,4.0
Dana TM4,Power,--,Pune,543,138,6,4.0
UTI Technology Services,IT Services & Consulting,--,Hyderabad,553,135,3,3.4
Dr.SNS Rajalakshmi College Of Arts and Science,Education & Training,--,Coimbatore,18,135,12,4.9
Mytrah Energy,Power,1,Hyderabad,472,135,1,4.2
FabAlley,Retail,--,Noida,240,135,5,3.9
Quatrro Mortgage Solutions,Financial Services,--,Mumbai,440,135,5,3.1
Planet PCI Infotech,Recruitment,--,Gurugram,620,135,7,3.6
DNV,Management Consulting,5,Pune,684,135,11,4.0
Trn Energy,Power,--,Raigarh,428,135,7,3.4
Paramount,IT Services & Consulting,--,Vadodara,797,135,8,3.3
Nova IVF Fertility,Healthcare,3,Kolkata,472,135,7,3.7
Euronet Global Development Center,FinTech,1,Mumbai,949,135,15,3.9
Omega Elevators,Industrial Machinery,2,Ahmedabad,453,135,6,3.8
Detox Group,Chemicals,--,Ankleshwar,569,135,12,4.0
Stanvac Chemicals,Chemicals,--,Gurugram,399,135,8,3.1
Bansal Classes,Education & Training,--,Pune,470,135,9,3.3
Gemini Consulting & Services,IT Services & Consulting,10,Hyderabad,1.1k,135,7,3.8
Solar Defence And Aerospace,Defence & Aerospace,--,Nagpur,550,135,5,3.8
Dr.SNS Rajalakshmi College Of Arts and Science,Education & Training,--,Coimbatore,18,135,12,4.9
Pioneer Wincon,Power,--,Chennai,381,135,9,4.2
Harley-Davidson,Automobile,29,Gurugram,483,135,6,3.8
Eisneramper LLP,Accounting & Auditing,21,Mumbai,987,135,15,2.8
RKC Infrabiult Private Limited,Engineering & Construction,--,Ahmedabad,539,139,15,3.6
Cachet Pharmaceuticals,Pharma,1,Mumbai,415,135,5,3.9
Cognifyz Technologies,Hyderabad +29 other locations,--,Hyderabad,102,135,11,4.0
Magna Steyr,Automobile,--,Pune,914,135,5,4.2
ParamInfo,IT Services & Consulting,11,Hyderabad,289,135,5,3.3
Axles India,Auto Components,1,Chennai,666,135,7,3.3
Complere Infosystem,Software Product,--,Ambala,151,135,9,4.3
Forbes Facility Services,Facility Management Services,3,Mumbai,495,135,7,4.2
Paramount,IT Services & Consulting,--,Vadodara,797,135,8,3.3
DNV,Management Consulting,5,Pune,684,135,11,4.0
Solar Defence And Aerospace,Defence & Aerospace,--,Nagpur,550,135,5,3.8
Cachet Pharmaceuticals,Pharma,1,Mumbai,415,135,5,3.9
Cognifyz Technologies,Hyderabad +29 other locations,--,Hyderabad,102,135,11,4.0
Magna Steyr,Automobile,--,Pune,914,135,5,4.2
Prabha Automotive Engineers,Hosur +11 other locations,1,Hosur,620,135,7,3.8
ParamInfo,IT Services & Consulting,11,Hyderabad,289,135,5,3.3
Manav Rachna International School,Education & Training,2,Faridabad,461,136,6,3.7
Axles India,Auto Components,1,Chennai,666,135,7,3.3
Eisneramper LLP,Accounting & Auditing,21,Mumbai,987,135,15,2.8
Harley-Davidson,Automobile,29,Gurugram,483,135,6,3.8
Besmak Components,Auto Components,4,Chennai,632,135,8,3.9
Unique Measurement Service,Auto Components,2,Chennai,229,135,69,4.5
POSCO,Metals & Mining,--,Pune,629,135,4,4.0
Tata Trusts,Non-Profit,--,Mumbai,719,134,9,4.3
Smile Foundation,Non-Profit,15,New Delhi,494,135,11,4.1
DMI DRAEXLMAIER MANUFACTURING,Industrial Machinery,--,Pune,474,134,8,3.7
Vigour Mobile,Consumer Electronics & Appliances,4,Gurugram,478,134,2,3.6
PrimeXBT,FinTech,1,London,7,134,--,4.7
Qbss,IT Services & Consulting,--,Coimbatore,603,134,11,3.8
Mapro Foods,FMCG,--,Pune,376,134,4,3.6
PrimeXBT,FinTech,1,London,7,134,--,4.7
Oman National Engineering & Investment Company,Engineering & Construction,1,Muscat,393,134,5,4.0
Khandelwal Laboratories,Pharma,--,Mumbai,413,134,3,4.1
Benteler Automotive,Automobile,--,Pune,487,134,4,4.0
Appcino Technologies,IT Services & Consulting,--,Jaipur,447,134,16,3.4
Transformers & Rectifiers (India),Electrical Equipment,--,Ahmedabad,803,135,8,4.2
Zaggle Prepaid Ocean Services,FinTech,1,Hyderabad,870,135,18,3.2
vConstruct,Engineering & Construction,31,Pune,901,134,11,3.7
Husk Power Systems,Power,13,Patna,494,134,9,3.3
FinAdvantage,Accounting & Auditing,43,Bengaluru,351,134,11,3.9
91Squarefeet,Internet,2,Gurgaon / Gurugram,348,134,12,3.3
Digital Nirvana Information Systems,Software Product,2,Hyderabad,620,134,3,3.4
Vigour Mobile,Consumer Electronics & Appliances,4,Gurugram,478,134,2,3.6
Smile Foundation,Non-Profit,15,New Delhi,494,135,11,4.1
DMI DRAEXLMAIER MANUFACTURING,Industrial Machinery,--,Pune,474,134,8,3.7
DWD Pharmaceuticals,Pharma,2,Vadodara,464,134,7,3.3
Propelld,Internet,4,Bengaluru,579,134,10,3.6
Dinesh Engineers,Telecom,4,Mumbai,462,134,12,3.9
Qbss,IT Services & Consulting,--,Coimbatore,603,134,11,3.8
Comnet Solutions,Telecom,--,Mumbai,722,134,8,3.5
Mapro Foods,FMCG,--,Pune,376,134,4,3.6
Raheja Universal,Real Estate,17,Mumbai,612,135,12,4.0
Tcg Digital Solutions,IT Services & Consulting,--,Kolkata,946,134,15,3.3
Servify,Consumer Electronics & Appliances,1,Mumbai,985,134,11,3.7
Testhouse,IT Services & Consulting,3,Thiruvananthapuram,761,134,13,4.2
Mahindra Aerospace,Defence & Aerospace,--,Bengaluru,666,134,6,3.8
Century Real Estate,Real Estate,6,Bengaluru,605,134,5,3.8
SPARX IT Solutions,IT Services & Consulting,21,Noida,628,134,13,3.7
AAI Cargo Logistics and Allied Services Company,Chennai +25 other locations,--,Chennai,355,134,11,2.8
TD Power Systems,Electrical Equipment,--,Bengaluru,697,137,9,3.7
NCR Atleos,Mumbai +16 other locations,33,Mumbai,879,158,11,3.8
Flemingo Duty Free Shop,Retail,3,Mumbai,515,134,2,4.1
Tata Trusts,Non-Profit,--,Mumbai,719,134,9,4.3
Dunkin' Donuts,Hospitality,--,New Delhi,199,134,5,3.6
RAMADA PLAZA,Hospitality,3,Chennai,463,134,6,4.1
Sakal Media Group,Media & Entertainment,2,Pune,709,134,5,3.5
Weavetex Overseas,Fashion & Textile,--,New Delhi,534,134,9,3.6
New Swan Multitech,Industrial Machinery,1,Ludhiana,503,134,12,4.0
Jindal Stainless Steelway,Iron & Steel,--,Gurugram,654,134,12,4.0
CG Corp Global,FMCG,--,Gurugram,355,134,9,3.1
NCR Atleos,Mumbai +16 other locations,33,Mumbai,879,158,11,3.8
Appcino Technologies,IT Services & Consulting,--,Jaipur,447,134,16,3.4
Transformers & Rectifiers (India),Electrical Equipment,--,Ahmedabad,803,135,8,4.2
Mahindra Aerospace,Defence & Aerospace,--,Bengaluru,666,134,6,3.8
Servify,Consumer Electronics & Appliances,1,Mumbai,985,134,11,3.7
Zaggle Prepaid Ocean Services,FinTech,1,Hyderabad,870,135,18,3.2
Husk Power Systems,Power,13,Patna,494,134,9,3.3
FinAdvantage,Accounting & Auditing,43,Bengaluru,351,134,11,3.9
vConstruct,Engineering & Construction,31,Pune,901,134,11,3.7
SPARX IT Solutions,IT Services & Consulting,21,Noida,628,134,13,3.7
AAI Cargo Logistics and Allied Services Company,Chennai +25 other locations,--,Chennai,355,134,11,2.8
Esme Consumer,Beauty & Personal Care,7,Gurugram,378,140,10,4.0
Jolly Containers,Petrochemicals,11,Daman & Diu,557,134,7,3.7
Sandvik Coromant,Industrial Machinery,18,Pune,629,134,8,4.1
ClinicAnywhere,Bengaluru +9 other locations,--,Bengaluru,549,134,16,3.2
IPAC,Retail,--,Kolkata,939,133,12,3.2
Amalgamated Plantations,Beverage,--,Kolkata,434,133,11,3.7
DAEWOO E&C,Engineering & Construction,--,Patna,162,133,5,4.2
Shilpa Steel and Power,Iron & Steel,3,Nagpur,484,133,3,3.5
Electronics for Imaging,Printing & Publishing,--,Bengaluru,1.2k,133,16,3.8
Ashland,Chemicals,--,Hyderabad,596,133,3,4.0
Urjanet Energy Solutions,IT Services & Consulting,4,Chennai,755,133,7,3.8
Malpani Group,Power,9,Pune,549,133,7,4.1
Jss Pro Services,Financial Services,3,Hyderabad,612,133,14,3.8
Axis Asset Management Company,Financial Services,141,Mumbai,546,133,4,3.7
Farida Group,Leather,--,Chennai,424,133,7,4.0
Viveks,Retail,7,Chennai,464,133,8,4.0
Progcap,Financial Services,9,New Delhi,768,133,10,4.0
UTI Mutual Fund,Financial Services,189,Mumbai,697,133,10,4.0
Mas Rural Housing Mortgage Finance,Financial Services,9,Ahmedabad,313,133,6,4.1
Electronics for Imaging,Printing & Publishing,--,Bengaluru,1.2k,133,16,3.8
H-one India,Auto Components,--,Noida,540,133,7,3.9
The Nuance Group AG,IT Services & Consulting,--,Pune,848,133,4,4.3
Times Network,Broadcasting,--,Mumbai,993,133,3,3.2
V.Ships,Ports & Shipping,1,Mumbai,446,133,11,4.0
Sanathan Textiles,Fashion & Textile,3,Dadra & Nagar Haveli,662,133,6,4.1
Securonix,Internet,--,Bengaluru,883,133,16,2.6
ToXSL Technologies,IT Services & Consulting,19,Sahibzada Ajit Singh Nagar,362,133,1,3.8
Anjan Drug,Pharma,--,Chennai,650,133,16,3.3
Della Group,Architecture & Interior Design,27,Mumbai,312,133,13,3.6
Fixderma,Beauty & Personal Care,4,Gurugram,420,133,10,3.3
ZoomRx,Analytics & KPO,6,Chennai,799,133,40,2.6
IPAC,Retail,--,Kolkata,939,133,12,3.2
Modern Foods,Food Processing,--,Chennai,567,133,7,3.6
Amalgamated Plantations,Beverage,--,Kolkata,434,133,11,3.7
DAEWOO E&C,Engineering & Construction,--,Patna,162,133,5,4.2
Vkc Nuts,Food Processing,--,Noida,522,133,8,3.5
Bangalore Electricity Supply Company,Bengaluru +9 other locations,--,Bengaluru,528,133,6,3.7
Voltech Hr Services,Recruitment,4,Chennai,418,133,8,3.1
Pravin Electricals,Electrical Equipment,--,Mumbai,582,133,5,4.2
RELX Group,Analytics & KPO,13,Chennai,619,133,10,3.4
Homeocare International,Healthcare,7,Hyderabad,402,133,9,3.4
The Judge Group,Recruitment,28,Noida,667,133,9,3.2
Capline Services,Healthcare,6,Noida,697,135,15,3.1
Sindhuja Microcredit,Noida +51 other locations,14,Noida,401,148,8,3.7
Ace Creative Learning,Design,6,Bengaluru,516,133,7,3.8
Electrostar Electronics,Noida +57 other locations,--,Noida,1k,133,5,4.0
Sofcon India Pvt Ltd,Education & Training,6,Pune,516,138,13,3.6
Sakthi Finance,Financial Services,--,Coimbatore,536,133,6,4.0
Speciality Restaurants,Hospitality,3,Mumbai,457,133,9,4.2
Marquis Technologies,IT Services & Consulting,5,Mumbai,707,133,13,3.2
Allzone Management Solutions,Analytics & KPO,17,Chennai,390,133,8,4.2
Rigved Technologies,Emerging Technologies,11,Mumbai,655,133,27,3.8
Beyondriffs,Education & Training,--,Ghaziabad,9,133,25,4.6
Shri Ram Murti Smarak Institute of Medical Sciences,Education & Training,115,Bareilly,334,132,7,3.6
FNF India,IT Services & Consulting,--,Bengaluru,695,132,19,3.8
Centurion University of Technology and Management,Education & Training,3,Bhubaneswar,423,132,9,3.5
Lectrix Ev,Gurugram +15 other locations,--,Gurugram,480,132,15,3.6
Sugam Homes,Real Estate,6,Kolkata,279,132,23,4.5
SURYA INTERNATIONAL ENTERPRISE,Power,65,Bhubaneswar,289,132,13,4.0
Vikram Tea,Financial Services,4,Mumbai,403,132,13,4.3
Glen Appliances,Consumer Electronics & Appliances,1,Faridabad,462,132,7,4.1
D Light Energy,Waste Management,--,Gurugram,434,132,3,3.7
Institute of Chemical Technology,Mumbai +31 other locations,--,Mumbai,549,132,4,4.0
Blue Jet Healthcare,Chemicals,--,Mumbai,855,132,10,3.8
Sigma,Pharma,--,Pune,676,132,11,3.8
Dulux,Building Material,--,Mumbai,334,133,6,4.2
Hemani Industries,Agro Chemicals,--,Ankleshwar,759,132,10,3.6
